sample_conditions,mineral,cycle,triplicate,experiment_code,retention_time,assignments,carbon_chain_length,compound_number,normalized_intensity
"NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM)",Zirconium silicate,2,a,MIN008,5.952,Glyceraldehyde,3,4,0.0334856805341116
"NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM)",Zirconium silicate,2,a,MIN008,9.966,Aldotrionic acid,3,5,0.1014758114872435
"NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM)",Zirconium silicate,2,a,MIN008,11.53999999999998,alpha-hydroxymethyl-aldotriose,4,9,1.4269054876936944
"NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM)",Zirconium silicate,2,a,MIN008,11.78533333333338,Erythrose,4,8,0.1028540509169944
"NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM)",Zirconium silicate,2,a,MIN008,11.89499999999998,Threose,4,7,0.0828155618800829
"NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM)",Zirconium silicate,2,a,MIN008,11.98299999999998,Erythrulose,4,6,0.5621335495547611
"NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM)",Zirconium silicate,2,a,MIN008,12.07899999999998,Erythritol,4,10,0.0151194947464995
"NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM)",Zirconium silicate,2,a,MIN008,14.05299999999998,Unknown_4,unknown,0,0.0173997956086206
"NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM)",Zirconium silicate,2,a,MIN008,14.42566666666668,alpha-hydroxymethyl-aldotetrose,5,19,0.3698027822857518
"NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM)",Zirconium silicate,2,a,MIN008,14.50966666666668,beta-hydroxymethyl-aldotetrose,5,20,0.1770006707792457
"NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM)",Zirconium silicate,2,a,MIN008,14.58099999999998,Aldopentose 3,5,14,0.0314802168008809
"NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM)",Zirconium silicate,2,a,MIN008,14.65033333333338,Aldopentose 4,5,15,0.0416785916643154
"NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM)",Zirconium silicate,2,a,MIN008,14.99366666666668,3-Ketopentose,5,18,0.2300966602714
"NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM)",Zirconium silicate,2,a,MIN008,17.339999999999982,"(alpha,beta)-bis-hydroxymethyl-aldotetrose",6,21,0.890670356337232
"NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM)",Zirconium silicate,2,a,MIN008,17.585999999999977,alpha-hydroxymethyl-3-Ketopentose,6,24,0.2369168623887008
"NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM)",Zirconium silicate,2,a,MIN008,17.730333333333377,3-Ketohexose 1,6,22,0.0395354844700115
"NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM)",Zirconium silicate,2,a,MIN008,17.886666666666677,3-Ketohexose 2,6,23,0.0811828046077873
"NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM)",Zirconium silicate,2,a,MIN008,19.722666666666683,Ketoheptose,7,29,0.1341839552988191
"NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM)",Zirconium silicate,3,a,MIN008,5.950666666666669,Glyceraldehyde,3,4,0.0097547407681306
"NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM)",Zirconium silicate,3,a,MIN008,9.97,Aldotrionic acid,3,5,0.1058060870971182
"NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM)",Zirconium silicate,3,a,MIN008,11.542000000000009,alpha-hydroxymethyl-aldotriose,4,9,1.1497288310703884
"NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM)",Zirconium silicate,3,a,MIN008,11.795000000000009,Erythrose,4,8,0.0317861112023975
"NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM)",Zirconium silicate,3,a,MIN008,11.89533333333331,Threose,4,7,0.0167731531460634
"NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM)",Zirconium silicate,3,a,MIN008,11.981333333333309,Erythrulose,4,6,0.2484319678064458
"NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM)",Zirconium silicate,3,a,MIN008,12.07333333333331,Erythritol,4,10,0.1889597625950595
"NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM)",Zirconium silicate,3,a,MIN008,14.05700000000001,Unknown_4,unknown,0,0.0582215940634433
"NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM)",Zirconium silicate,3,a,MIN008,14.430000000000009,alpha-hydroxymethyl-aldotetrose,5,19,0.338898407647791
"NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM)",Zirconium silicate,3,a,MIN008,14.51100000000001,beta-hydroxymethyl-aldotetrose,5,20,0.06171223542607
"NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM)",Zirconium silicate,3,a,MIN008,14.58500000000001,Aldopentose 3,5,14,0.096535587897971
"NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM)",Zirconium silicate,3,a,MIN008,14.65233333333331,Aldopentose 4,5,15,0.1477035341249999
"NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM)",Zirconium silicate,3,a,MIN008,14.99533333333331,3-Ketopentose,5,18,0.0610084573628816
"NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM)",Zirconium silicate,3,a,MIN008,17.33833333333331,"(alpha,beta)-bis-hydroxymethyl-aldotetrose",6,21,0.6355199417817943
"NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM)",Zirconium silicate,3,a,MIN008,17.58933333333331,alpha-hydroxymethyl-3-Ketopentose,6,24,0.1056140586360655
"NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM)",Zirconium silicate,3,a,MIN008,17.73933333333331,3-Ketohexose 1,6,22,0.0664812715336371
"NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM)",Zirconium silicate,3,a,MIN008,17.89533333333331,3-Ketohexose 2,6,23,0.0991687640775592
"NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM)",Zirconium silicate,3,a,MIN008,19.72200000000001,Ketoheptose,7,29,0.192575439878696
"NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM)",Zirconium silicate,1,b,MIN008,5.954333333333328,Glyceraldehyde,3,4,0.0332696363874367
"NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM)",Zirconium silicate,1,b,MIN008,9.970999999999998,Aldotrionic acid,3,5,0.0863277092539731
"NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM)",Zirconium silicate,1,b,MIN008,11.543666666666708,alpha-hydroxymethyl-aldotriose,4,9,1.795465596335455
"NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM)",Zirconium silicate,1,b,MIN008,11.788666666666709,Erythrose,4,8,0.1056793877957304
"NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM)",Zirconium silicate,1,b,MIN008,11.897666666666709,Threose,4,7,0.0827348203853896
"NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM)",Zirconium silicate,1,b,MIN008,11.983333333333308,Erythrulose,4,6,0.3549854800197864
"NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM)",Zirconium silicate,1,b,MIN008,12.080666666666708,Erythritol,4,10,0.0154642586698733
"NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM)",Zirconium silicate,1,b,MIN008,14.059333333333308,Unknown_4,unknown,0,0.0192857742970092
"NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM)",Zirconium silicate,1,b,MIN008,14.431333333333308,alpha-hydroxymethyl-aldotetrose,5,19,0.2857814832777352
"NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM)",Zirconium silicate,1,b,MIN008,14.514333333333308,beta-hydroxymethyl-aldotetrose,5,20,0.1604073476788412
